,Age,Hours per day,While working,Instrumentalist,Composer,Exploratory,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Depression
127,13.0,2.0,1,1,1,1,0,1,0,2,3,1,2,0,0,0,2,2,3,1,3,3,3,1
128,24.0,1.0,0,0,0,1,0,2,0,1,1,0,1,0,0,0,0,3,2,2,2,3,1,0
129,35.0,6.0,1,0,0,1,1,2,1,2,3,0,1,2,1,1,2,2,2,1,1,3,2,0
130,29.0,1.0,1,1,0,1,0,2,0,0,1,2,0,1,0,0,0,0,2,1,0,2,2,0
131,28.0,6.0,1,0,0,0,0,2,1,0,2,0,1,1,0,1,1,2,2,2,1,3,3,1
132,32.0,7.0,1,0,0,1,1,2,0,1,0,0,2,1,0,0,1,1,3,3,3,3,3,1
133,32.0,1.0,0,0,0,1,0,1,0,3,1,1,2,1,0,1,1,0,2,1,1,1,0,0
134,21.0,3.0,1,1,0,1,0,0,0,0,3,0,2,0,0,0,2,3,1,0,1,3,2,1
135,18.0,2.0,1,1,0,0,1,0,0,2,0,0,1,0,0,0,1,0,1,0,0,2,3,0
136,19.0,3.0,1,1,0,1,0,3,1,0,0,0,0,0,1,0,2,0,3,0,0,1,2,0
137,18.0,2.0,1,1,0,1,1,1,1,0,0,0,1,0,3,1,1,1,3,1,1,1,0,0
138,16.0,3.0,1,0,1,0,0,1,2,2,0,0,1,0,2,0,2,0,3,0,1,3,1,0
139,25.0,1.5,1,0,0,0,0,2,1,1,2,0,1,0,0,0,1,1,3,3,1,3,0,0
140,17.0,4.0,1,0,0,1,1,3,0,0,0,2,2,1,2,0,3,0,3,2,2,1,3,1
141,16.0,2.0,1,0,0,1,1,3,0,0,0,0,3,0,2,0,1,0,3,3,3,0,2,1
142,27.0,10.0,1,0,0,1,1,2,0,2,0,0,2,1,0,0,1,3,3,1,2,3,1,0
143,53.0,7.0,1,0,0,1,1,3,2,3,1,1,2,2,1,2,1,1,3,3,1,3,1,0
144,25.0,1.0,1,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,1,1,1
145,34.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,2,0,1
146,22.0,6.0,1,1,1,1,1,2,1,3,3,1,3,3,1,2,2,2,3,3,3,2,2,1
147,17.0,2.0,1,1,1,1,0,2,0,0,0,0,1,2,0,0,1,2,3,0,1,3,1,0
148,26.0,3.0,1,1,0,1,0,1,1,0,3,1,1,2,0,0,1,1,2,2,1,2,2,1
149,19.0,8.0,1,0,0,1,0,0,0,3,0,0,2,0,1,0,0,1,2,2,2,2,0,1
150,21.0,3.0,1,0,0,1,1,1,3,2,1,0,3,1,0,3,2,1,3,3,3,2,2,1
151,32.0,3.0,1,1,1,1,1,1,1,2,3,0,2,1,0,2,3,1,2,3,1,3,1,0
152,21.0,3.0,1,0,0,0,0,0,0,0,2,2,2,2,0,1,0,1,1,1,2,3,3,1
153,25.0,2.0,0,1,0,0,0,1,0,0,1,0,2,0,0,2,0,0,3,2,3,3,1,1
154,26.0,1.0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,2,2,1,2,3,0,1
155,21.0,2.0,1,1,0,1,1,1,0,0,2,0,1,0,0,0,1,3,1,0,1,3,2,0
156,17.0,2.0,1,1,0,0,1,1,0,0,0,0,1,3,3,0,3,0,3,3,2,0,2,0
157,28.0,4.0,1,0,0,1,1,1,2,1,1,0,2,2,1,0,0,2,2,1,1,3,2,1
158,41.0,4.0,1,0,0,1,0,1,0,2,3,0,3,2,1,1,2,1,3,3,2,3,1,0
159,18.0,1.0,1,1,0,1,1,1,0,1,0,0,2,0,0,0,0,3,1,0,2,3,2,1
160,22.0,2.0,0,0,0,0,1,2,0,0,0,0,1,0,3,3,2,0,2,3,1,1,2,0
